price,address,bedrooms,bathrooms,page
"$649,000 ","#106SW -9191 YONGE ST, Richmond Hill, Ontario",1 + 1,2,page_10.html
"$778,000 ","#602 -30 HARDING BLVD W, Richmond Hill, Ontario",2 + 1,2,page_10.html
"$778,000 ","#LPH07 -95 ONEIDA CRES, Richmond Hill, Ontario",2,2,page_10.html
"$880,000 ","#PH4 -310 RED MAPLE RD, Richmond Hill, Ontario",2 + 1,2,page_10.html
"$779,000 ","#313 -1000 ELGIN MILLS RD, Richmond Hill, Ontario",2,3,page_10.html
"$938,000 ","#507 -33 WELDRICK RD E, Richmond Hill, Ontario",2 + 2,2,page_10.html
"$1,158,000 ","286 PALMER AVE, Richmond Hill, Ontario",3 + 2,2,page_10.html
"$968,000 ","#1511 -1000 ELGIN MILLS EAST RD, Richmond Hill, Ontario",2,3,page_10.html
"$799,900 ","#1210 -325 SOUTH PARK RD, Markham, Ontario",1 + 1,1,page_10.html
"$839,000 ","#1608 -75 ONEIDA CRES, Richmond Hill, Ontario",2 + 1,2,page_10.html
"$645,000 ","#506 -11 ONEIDA CRES, Richmond Hill, Ontario",1 + 1,1,page_10.html
"$679,888 ","## 714 -175 CEDAR AVE, Richmond Hill, Ontario",2 + 1,2,page_10.html
"$645,000 ","#720 -39 ONEIDA CRES, Richmond Hill, Ontario",1,2,page_11.html
"$645,000 ","39 ONEIDA Crescent Unit# 720, Richmond Hill, Ontario",1 + 0,2,page_11.html
"$755,000 ","#1005 -105 ONEIDA CRES, Richmond Hill, Ontario",2,2,page_11.html
"$999,800 ","#587 -11211 YONGE ST, Richmond Hill, Ontario",2 + 1,2,page_11.html
"$818,000 ","#202 -398 HIGHWAY 7 E, Richmond Hill, Ontario",2,2,page_11.html
"$850,000 ","#205 -33 WELDRICK RD E, Richmond Hill, Ontario",2 + 1,2,page_11.html
"$788,000 ","#1204 -11 ONEIDA CRES, Richmond Hill, Ontario",2,2,page_11.html
"$828,900 ","#609 -1000 ELGIN MILLS RD E, Richmond Hill, Ontario",2,3,page_11.html
"$759,000 ","#810 -100 OBSERVATORY LANE, Richmond Hill, Ontario",2,2,page_11.html
"$779,000 ","#1103 -95 ONEIDA CRES, Richmond Hill, Ontario",2 + 1,2,page_11.html
"$650,000 ","#710 -370 HIGHWAY 7 RD E, Richmond Hill, Ontario",1 + 1,1,page_11.html
"$719,900 ","#419 -9201 YONGE ST, Richmond Hill, Ontario",2,2,page_11.html
"$799,900 ","#609 -233 SOUTH PARK RD, Markham, Ontario",2,2,page_12.html
"$849,000 ","#116 -18 HARDING BLVD, Richmond Hill, Ontario",2 + 1,2,page_12.html
"$639,000 ","#805 -25 TIMES AVE, Markham, Ontario",1 + 1,2,page_12.html
"$639,000 ","#705 -25 TIMES  AVE, Markham, Ontario",1 + 1,2,page_12.html
